Building,Height (m)
"Great Pyramid
(Giza)",147
"Eiffel Tower
(Paris)",324
"Empire State Building
(New York)",381
"Petronas Towers
(Kuala Lumpur)",452
"Taipei 101
(Taipei)",508
"World Trade Center
(New York)",417
"Willis Tower
(Chicago)",442
"CN Tower
(Toronto)",553
"KVLY-TV Mast
(Blanchard)",628
"Warsaw Radio Mast
(Gabin)",646
"Burj Khalifa
(Dubai)",828
